tract_geoid,tract_name,county_name
24005401102,The neighborhood of Colonial Park,Baltimore County
24005401200,The suburb of Gwynn Oak,Baltimore County
24005401301,The tract 0.6 miles NW of the neighborhood of Westowne,Baltimore County
24005401302,The tract 0.5 miles W of the neighborhood of West Hills,Baltimore County
24005401400,The neighborhood of Frederick Village,Baltimore County
24005401503,"The tract encompassing the neighborhoods of Grays Level, Timber Point, Chalfone Manor, Westchester, Rockwell, and Oella",Baltimore County
24005401504,The tract 1 miles SW of the neighborhood of Belmont,Baltimore County
24005401505,The town-center of Woodlawn,Baltimore County
24005401506,The tract 0.9 miles E of the community of Hollifield,Baltimore County
24005401507,The tract 0.4 miles N of the neighborhood of Belmont,Baltimore County
24005402201,The tract encompassing the village-centers of Granite and Holbrook,Baltimore County
24005402202,The tract encompassing the communities of Kraft Corner and Hollifield,Baltimore County
24005402302,The town-center of Milford Mill,Baltimore County
24005402303,The tract encompassing the neighborhoods of Hebbville and Rockdale,Baltimore County
24005402304,The neighborhood of Woodmoor,Baltimore County
24005402305,The neighborhood of Milford,Baltimore County
24005402306,The tract 0.5 miles NW of the neighborhood of Rockdale,Baltimore County
24005402307,The locality of Scotts Level,Baltimore County
24005402403,The tract 0.6 miles S of the town-center of Lochearn,Baltimore County
24005402404,The tract encompassing the neighborhoods of West Glen and Powhatan,Baltimore County
24005402405,The neighborhood of Featherbed,Baltimore County
24005402407,The neighborhood of Windsor Mill,Baltimore County
24005402408,The tract 0.7 miles SW of the neighborhood of Windsor Mill,Baltimore County
24005402409,The tract 0.2 miles SW of the neighborhood of Windsor Mill,Baltimore County
24005402503,The tract 0.7 miles SW of the town-center of Randallstown,Baltimore County
24005402504,The tract 1.1 miles SE of the community of Hernwood,Baltimore County
24005402505,The neighborhood of Wildwoods,Baltimore County
24005402506,The town-center of Randallstown,Baltimore County
24005402510,The tract 0.8 miles S of the town-center of Owings Mills,Baltimore County
24005402511,The tract 0.8 miles N of the neighborhood of Wildwoods,Baltimore County
24005402602,The tract 0.8 miles E of the town-center of Randallstown,Baltimore County
24005402603,The tract 1.1 miles W of the locality of Mount Wilson,Baltimore County
24005402604,The tract 0.7 miles NW of the locality of Scotts Level,Baltimore County
24005403100,The tract encompassing the neighborhoods of Villa Nova and Willow Glen,Baltimore County
24005403201,The neighborhood of Howardsville,Baltimore County
24005403202,The town-center of Lochearn,Baltimore County
24005403300,The tract 0.7 miles NW of the neighborhood of Howardsville,Baltimore County
24005403401,The tract 0.5 miles W of the town-center of Pikesville,Baltimore County
24005403402,The town-center of Pikesville,Baltimore County
24005403500,"The tract encompassing the neighborhoods of Valley Stream, Pickwick, Dumbarton, and Wellwood",Baltimore County
24005403601,"The tract encompassing the neighborhoods of Summit Park, Greengate, Summit Chase, Rockland Run, Sorrento Run, and Ashton Woods",Baltimore County
24005403602,"The tract encompassing the neighborhoods of Falls Gable, The Falls, Ranchleigh, Bare Hills, and The Parke at Mount Washington",Baltimore County
24005403702,The neighborhood of Tobin,Baltimore County
24005403703,The tract 0.8 miles S of the neighborhood of Eccleston,Baltimore County
24005403704,The suburb of Chattolanee,Baltimore County
24005403801,"The tract encompassing the neighborhoods of Eccleston, Cronhardt, Five Springs, Valley Heights, Valley Brook, Caves Valley, Caves Point, and Caves Point",Baltimore County
24005403802,The suburb of Stevenson,Baltimore County
24005403803,The tract encompassing the neighborhoods of Eden Roc and Helmsley Court,Baltimore County
24005404101,The town-center of Owings Mills,Baltimore County
24005404102,The neighborhood of Belltown,Baltimore County
24005404201,The tract encompassing the neighborhoods of Delight and Owings Ridge,Baltimore County
24005404202,The tract 0.9 miles SE of the neighborhood of Gwynnbrook,Baltimore County
24005404402,The village-center of Glyndon,Baltimore County
24005404403,The tract 0.3 miles W of the neighborhood of Cherry Valley,Baltimore County
24005404404,The town-center of Reisterstown,Baltimore County
24005404501,The tract encompassing the neighborhoods of Timber Grove and Hunters Glen South,Baltimore County
24005404502,The neighborhood of Cherry Valley,Baltimore County
24005404600,The village-center of Boring,Baltimore County
24005404800,"The tract encompassing the neighborhoods of Green Hill Farm, Ivy Meadows, Franklin Valley, Woodleaf, and Norris Run Woods",Baltimore County
24005404900,"The tract encompassing the neighborhoods of Worthington, Chestnut Ridge, Gwynnbrook, Worthington Woodsyde, Worthington Valley Estates, Worthington Valley, Worthington Ridge, Worthington Greens, Worthington Club Estates, Woodsyde Heights, Waterspout, Summerfield, Springwood, Raintree Farm, Placide, Nancy Lee Farms, Foxchase, Dover Downs, Chestnut Woods, Caves Valley Golf Club Residences, Pinewood Farm, and The Fields at Worthington",Baltimore County
